AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
4.3|5.3|4.8|354|XI(d) Malignant melanomas|74706728|0-19|All Races|Male and Female|1999|4.3|5.3|4.7
~|~|~|~|XI(e) Skin carcinomas|74706728|0-19|All Races|Male and Female|1999|~|~|~
3.5|4.4|3.9|293|XI(f) Other and unspecified carcinomas|74706728|0-19|All Races|Male and Female|1999|3.5|4.4|3.9
0.6|1.1|0.8|61|XII Other and unspecified malignant neoplasms|74706728|0-19|All Races|Male and Female|1999|0.6|1.0|0.8
0.1|0.4|0.2|17|XII(a) Other specified malignant tumors|74706728|0-19|All Races|Male and Female|1999|0.1|0.4|0.2
0.4|0.8|0.6|44|XII(b) Other unspecified malignant tumors|74706728|0-19|All Races|Male and Female|1999|0.4|0.8|0.6
161.6|167.4|164.5|12350|All ICCC Groups Combined|75211310|0-19|All Races|Male and Female|2000|161.3|167.1|164.2
40.1|43.0|41.5|3113|I Leukemias, myeloproliferative & myelodysplastic diseases|75211310|0-19|All Races|Male and Female|2000|39.9|42.9|41.4
30.8|33.4|32.1|2402|I(a) Lymphoid leukemias|75211310|0-19|All Races|Male and Female|2000|30.7|33.2|31.9
6.5|7.7|7.1|530|I(b) Acute myeloid leukemias|75211310|0-19|All Races|Male and Female|2000|6.5|7.7|7.0
0.7|1.2|0.9|69|I(c) Chronic myeloproliferative diseases|75211310|0-19|All Races|Male and Female|2000|0.7|1.2|0.9
~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|75211310|0-19|All Races|Male and Female|2000|~|~|~
1.1|1.6|1.3|100|I(e) Unspecified and other specified leukemias|75211310|0-19|All Races|Male and Female|2000|1.1|1.6|1.3
23.9|26.2|25.0|1883|II Lymphomas and reticuloendothelial neoplasms|75211310|0-19|All Races|Male and Female|2000|23.9|26.2|25.0
11.6|13.2|12.3|930|II(a) Hodgkin lymphomas|75211310|0-19|All Races|Male and Female|2000|11.6|13.2|12.4
7.6|8.9|8.2|619|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|75211310|0-19|All Races|Male and Female|2000|7.6|8.9|8.2
2.4|3.1|2.7|207|II(c) Burkitt lymphoma|75211310|0-19|All Races|Male and Female|2000|2.4|3.2|2.8
0.8|1.3|1.0|77|II(d) Miscellaneous lymphoreticular neoplasms|75211310|0-19|All Races|Male and Female|2000|0.8|1.3|1.0
0.5|0.9|0.7|50|II(e) Unspecified lymphomas|75211310|0-19|All Races|Male and Female|2000|0.5|0.9|0.7
29.2|31.7|30.4|2285|III CNS and misc intracranial and intraspinal neoplasms|75211310|0-19|All Races|Male and Female|2000|29.1|31.7|30.4
2.1|2.8|2.4|179|III(a) Ependymomas and choroid plexus tumor|75211310|0-19|All Races|Male and Female|2000|2.0|2.8|2.4
14.9|16.7|15.8|1189|III(b) Astrocytomas|75211310|0-19|All Races|Male and Female|2000|14.9|16.7|15.8
6.0|7.2|6.6|493|III(c) Intracranial and intraspinal embryonal tumors|75211310|0-19|All Races|Male and Female|2000|6.0|7.2|6.6
4.1|5.0|4.5|341|III(d) Other gliomas|75211310|0-19|All Races|Male and Female|2000|4.1|5.0|4.5
0.3|0.6|0.4|33|III(e) Other specified intracranial & intraspinal neoplasms|75211310|0-19|All Races|Male and Female|2000|0.3|0.6|0.4
0.5|0.9|0.7|50|III(f) Unspecified intracranial and intraspinal neoplasms|75211310|0-19|All Races|Male and Female|2000|0.5|0.9|0.7
7.0|8.2|7.6|566|IV Neuroblastoma and other peripheral nervous cell tumors|75211310|0-19|All Races|Male and Female|2000|6.9|8.2|7.5
6.9|8.1|7.5|557|IV(a) Neuroblastoma and ganglioneuroblastoma|75211310|0-19|All Races|Male and Female|2000|6.8|8.0|7.4
~|~|~|~|IV(b) Other peripheral nervous cell tumors|75211310|0-19|All Races|Male and Female|2000|~|~|~
11.3|12.8|12.0|904|IX Soft tissue and other extraosseous sarcomas|75211310|0-19|All Races|Male and Female|2000|11.2|12.8|12.0
4.4|5.4|4.9|369|IX(a) Rhabdomyosarcomas|75211310|0-19|All Races|Male and Female|2000|4.4|5.4|4.9
1.0|1.5|1.2|90|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|75211310|0-19|All Races|Male and Female|2000|1.0|1.5|1.2
~|~|~|~|IX(c) Kaposi sarcoma|75211310|0-19|All Races|Male and Female|2000|~|~|~
4.0|5.0|4.5|337|IX(d) Other specified soft tissue sarcomas|75211310|0-19|All Races|Male and Female|2000|4.0|5.0|4.5
1.1|1.7|1.4|104|IX(e) Unspecified soft tissue sarcomas|75211310|0-19|All Races|Male and Female|2000|1.1|1.7|1.4
0.1|0.3|0.2|16|Not classified by ICCC|75211310|0-19|All Races|Male and Female|2000|0.1|0.3|0.2
2.9|3.8|3.3|247|V Retinoblastoma|75211310|0-19|All Races|Male and Female|2000|2.9|3.7|3.3
6.3|7.5|6.8|511|VI Renal tumors|75211310|0-19|All Races|Male and Female|2000|6.2|7.4|6.8
5.8|6.9|6.3|472|VI(a) Nephroblastoma and other nonepithelial renal tumors|75211310|0-19|All Races|Male and Female|2000|5.7|6.9|6.3
0.3|0.7|0.5|37|VI(b) Renal carcinomas|75211310|0-19|All Races|Male and Female|2000|0.3|0.7|0.5
~|~|~|~|VI(c) Unspecified malignant renal tumors|75211310|0-19|All Races|Male and Female|2000|~|~|~
1.5|2.2|1.8|137|VII Hepatic tumors|75211310|0-19|All Races|Male and Female|2000|1.5|2.2|1.8
1.2|1.8|1.5|110|VII(a) Hepatoblastoma|75211310|0-19|All Races|Male and Female|2000|1.2|1.8|1.5
0.2|0.5|0.4|27|VII(b) Hepatic carcinomas|75211310|0-19|All Races|Male and Female|2000|0.2|0.5|0.4
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|75211310|0-19|All Races|Male and Female|2000|~|~|~
7.8|9.2|8.5|639|VIII Malignant bone tumors|75211310|0-19|All Races|Male and Female|2000|7.9|9.2|8.5
4.3|5.3|4.8|359|VIII(a) Osteosarcomas|75211310|0-19|All Races|Male and Female|2000|4.3|5.3|4.8
~|~|~|~|VIII(b) Chondrosarcomas|75211310|0-19|All Races|Male and Female|2000|~|~|~
2.7|3.5|3.1|233|VIII(c) Ewing tumor and related sarcomas of bone|75211310|0-19|All Races|Male and Female|2000|2.7|3.5|3.1
0.1|0.4|0.2|18|VIII(d) Other specified malignant bone tumors|75211310|0-19|All Races|Male and Female|2000|0.1|0.4|0.2
0.1|0.3|0.2|16|VIII(e) Unspecified malignant bone tumors|75211310|0-19|All Races|Male and Female|2000|0.1|0.3|0.2
10.0|11.5|10.7|808|X Germ cell, trophoblastic tumors & neoplasms of gonads|75211310|0-19|All Races|Male and Female|2000|10.0|11.5|10.7
1.4|2.0|1.6|124|X(a) Intracranial & intraspinal germ cell tumors|75211310|0-19|All Races|Male and Female|2000|1.4|2.0|1.6
1.1|1.7|1.4|104|X(b) Malignant extracranial & extragonadal germ cell tumors|75211310|0-19|All Races|Male and Female|2000|1.1|1.7|1.4
6.4|7.7|7.0|529|X(c) Malignant gonadal germ cell tumors|75211310|0-19|All Races|Male and Female|2000|6.4|7.7|7.0
0.3|0.6|0.4|33|X(d) Gonadal carcinomas|75211310|0-19|All Races|Male and Female|2000|0.3|0.6|0.4
0.1|0.4|0.2|18|X(e) Other and unspecified malignant gonadal tumors|75211310|0-19|All Races|Male and Female|2000|0.1|0.4|0.2
14.7|16.5|15.6|1176|XI Other malignant epithelial neoplasms and malignant melanomas|75211310|0-19|All Races|Male and Female|2000|14.8|16.6|15.6
0.2|0.5|0.3|24|XI(a) Adrenocortical carcinomas|75211310|0-19|All Races|Male and Female|2000|0.2|0.5|0.3
5.1|6.2|5.7|426|XI(b) Thyroid carcinomas|75211310|0-19|All Races|Male and Female|2000|5.1|6.2|5.7
0.4|0.7|0.5|40|XI(c) Nasopharyngeal carcinomas|75211310|0-19|All Races|Male and Female|2000|0.4|0.7|0.5
4.6|5.7|5.1|386|XI(d) Malignant melanomas|75211310|0-19|All Races|Male and Female|2000|4.6|5.7|5.1
~|~|~|~|XI(e) Skin carcinomas|75211310|0-19|All Races|Male and Female|2000|~|~|~
3.5|4.4|3.9|294|XI(f) Other and unspecified carcinomas|75211310|0-19|All Races|Male and Female|2000|3.5|4.4|3.9
0.7|1.1|0.9|65|XII Other and unspecified malignant neoplasms|75211310|0-19|All Races|Male and Female|2000|0.7|1.1|0.9
~|~|~|~|XII(a) Other specified malignant tumors|75211310|0-19|All Races|Male and Female|2000|~|~|~
0.5|0.9|0.7|50|XII(b) Other unspecified malignant tumors|75211310|0-19|All Races|Male and Female|2000|0.5|0.9|0.7
168.4|174.3|171.4|13110|All ICCC Groups Combined|76516063|0-19|All Races|Male and Female|2001|168.4|174.3|171.3
44.5|47.5|46.0|3500|I Leukemias, myeloproliferative & myelodysplastic diseases|76516063|0-19|All Races|Male and Female|2001|44.2|47.3|45.7
32.0|34.6|33.2|2523|I(a) Lymphoid leukemias|76516063|0-19|All Races|Male and Female|2001|31.7|34.3|33.0
7.1|8.4|7.7|591|I(b) Acute myeloid leukemias|76516063|0-19|All Races|Male and Female|2001|7.1|8.4|7.7
1.9|2.6|2.2|171|I(c) Chronic myeloproliferative diseases|76516063|0-19|All Races|Male and Female|2001|1.9|2.6|2.2
1.3|1.8|1.5|117|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|76516063|0-19|All Races|Male and Female|2001|1.3|1.8|1.5
1.0|1.6|1.3|98|I(e) Unspecified and other specified leukemias|76516063|0-19|All Races|Male and Female|2001|1.0|1.6|1.3
23.6|25.9|24.7|1901|II Lymphomas and reticuloendothelial neoplasms|76516063|0-19|All Races|Male and Female|2001|23.7|26.0|24.8
11.8|13.4|12.5|965|II(a) Hodgkin lymphomas|76516063|0-19|All Races|Male and Female|2001|11.8|13.4|12.6
8.1|9.5|8.8|673|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|76516063|0-19|All Races|Male and Female|2001|8.1|9.5|8.8
1.8|2.5|2.2|165|II(c) Burkitt lymphoma|76516063|0-19|All Races|Male and Female|2001|1.8|2.5|2.2
0.6|1.0|0.8|60|II(d) Miscellaneous lymphoreticular neoplasms|76516063|0-19|All Races|Male and Female|2001|0.6|1.0|0.8
0.4|0.7|0.5|38|II(e) Unspecified lymphomas|76516063|0-19|All Races|Male and Female|2001|0.4|0.7|0.5
28.8|31.3|30.1|2294|III CNS and misc intracranial and intraspinal neoplasms|76516063|0-19|All Races|Male and Female|2001|28.8|31.2|30.0
2.1|2.8|2.4|187|III(a) Ependymomas and choroid plexus tumor|76516063|0-19|All Races|Male and Female|2001|2.1|2.8|2.4
14.2|15.9|15.0|1148|III(b) Astrocytomas|76516063|0-19|All Races|Male and Female|2001|14.1|15.9|15.0
6.0|7.2|6.6|501|III(c) Intracranial and intraspinal embryonal tumors|76516063|0-19|All Races|Male and Female|2001|6.0|7.1|6.5
4.5|5.6|5.0|384|III(d) Other gliomas|76516063|0-19|All Races|Male and Female|2001|4.5|5.5|5.0
0.4|0.8|0.6|45|III(e) Other specified intracranial & intraspinal neoplasms|76516063|0-19|All Races|Male and Female|2001|0.4|0.8|0.6
0.3|0.5|0.4|29|III(f) Unspecified intracranial and intraspinal neoplasms|76516063|0-19|All Races|Male and Female|2001|0.3|0.5|0.4
8.4|9.7|9.0|690|IV Neuroblastoma and other peripheral nervous cell tumors|76516063|0-19|All Races|Male and Female|2001|8.4|9.7|9.0
8.2|9.5|8.8|676|IV(a) Neuroblastoma and ganglioneuroblastoma|76516063|0-19|All Races|Male and Female|2001|8.2|9.5|8.8
~|~|~|~|IV(b) Other peripheral nervous cell tumors|76516063|0-19|All Races|Male and Female|2001|~|~|~
11.1|12.7|11.9|911|IX Soft tissue and other extraosseous sarcomas|76516063|0-19|All Races|Male and Female|2001|11.1|12.7|11.9
4.5|5.5|5.0|378|IX(a) Rhabdomyosarcomas|76516063|0-19|All Races|Male and Female|2001|4.5|5.5|4.9
1.2|1.7|1.5|112|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|76516063|0-19|All Races|Male and Female|2001|1.2|1.8|1.5
~|~|~|~|IX(c) Kaposi sarcoma|76516063|0-19|All Races|Male and Female|2001|~|~|~
3.7|4.7|4.2|321|IX(d) Other specified soft tissue sarcomas|76516063|0-19|All Races|Male and Female|2001|3.7|4.7|4.2
1.0|1.5|1.3|97|IX(e) Unspecified soft tissue sarcomas|76516063|0-19|All Races|Male and Female|2001|1.0|1.5|1.3
0.2|0.4|0.3|22|Not classified by ICCC|76516063|0-19|All Races|Male and Female|2001|0.2|0.4|0.3
2.9|3.8|3.3|256|V Retinoblastoma|76516063|0-19|All Races|Male and Female|2001|2.9|3.8|3.3
6.2|7.4|6.8|515|VI Renal tumors|76516063|0-19|All Races|Male and Female|2001|6.2|7.3|6.7
5.7|6.8|6.2|471|VI(a) Nephroblastoma and other nonepithelial renal tumors|76516063|0-19|All Races|Male and Female|2001|5.6|6.7|6.2
0.4|0.7|0.5|41|VI(b) Renal carcinomas|76516063|0-19|All Races|Male and Female|2001|0.4|0.7|0.5
~|~|~|~|VI(c) Unspecified malignant renal tumors|76516063|0-19|All Races|Male and Female|2001|~|~|~
1.5|2.1|1.8|138|VII Hepatic tumors|76516063|0-19|All Races|Male and Female|2001|1.5|2.1|1.8
1.0|1.5|1.3|97|VII(a) Hepatoblastoma|76516063|0-19|All Races|Male and Female|2001|1.0|1.5|1.3
0.4|0.7|0.5|40|VII(b) Hepatic carcinomas|76516063|0-19|All Races|Male and Female|2001|0.4|0.7|0.5
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|76516063|0-19|All Races|Male and Female|2001|~|~|~
8.8|10.2|9.5|731|VIII Malignant bone tumors|76516063|0-19|All Races|Male and Female|2001|8.9|10.3|9.6
4.7|5.7|5.2|400|VIII(a) Osteosarcomas|76516063|0-19|All Races|Male and Female|2001|4.7|5.8|5.2
0.2|0.5|0.4|28|VIII(b) Chondrosarcomas|76516063|0-19|All Races|Male and Female|2001|0.2|0.5|0.4
3.0|3.8|3.4|261|VIII(c) Ewing tumor and related sarcomas of bone|76516063|0-19|All Races|Male and Female|2001|3.0|3.9|3.4
0.3|0.6|0.4|31|VIII(d) Other specified malignant bone tumors|76516063|0-19|All Races|Male and Female|2001|0.3|0.6|0.4
~|~|~|~|VIII(e) Unspecified malignant bone tumors|76516063|0-19|All Races|Male and Female|2001|~|~|~
9.7|11.2|10.5|805|X Germ cell, trophoblastic tumors & neoplasms of gonads|76516063|0-19|All Races|Male and Female|2001|9.8|11.3|10.5
1.3|1.9|1.6|123|X(a) Intracranial & intraspinal germ cell tumors|76516063|0-19|All Races|Male and Female|2001|1.3|1.9|1.6
1.3|1.9|1.6|123|X(b) Malignant extracranial & extragonadal germ cell tumors|76516063|0-19|All Races|Male and Female|2001|1.3|1.9|1.6
6.1|7.2|6.6|510|X(c) Malignant gonadal germ cell tumors|76516063|0-19|All Races|Male and Female|2001|6.1|7.3|6.7
0.2|0.5|0.3|26|X(d) Gonadal carcinomas|76516063|0-19|All Races|Male and Female|2001|0.2|0.5|0.3
0.2|0.4|0.3|23|X(e) Other and unspecified malignant gonadal tumors|76516063|0-19|All Races|Male and Female|2001|0.2|0.5|0.3
15.7|17.6|16.6|1280|XI Other malignant epithelial neoplasms and malignant melanomas|76516063|0-19|All Races|Male and Female|2001|15.8|17.7|16.7
0.1|0.3|0.2|16|XI(a) Adrenocortical carcinomas|76516063|0-19|All Races|Male and Female|2001|0.1|0.3|0.2
5.3|6.4|5.9|451|XI(b) Thyroid carcinomas|76516063|0-19|All Races|Male and Female|2001|5.4|6.5|5.9
0.4|0.8|0.6|44|XI(c) Nasopharyngeal carcinomas|76516063|0-19|All Races|Male and Female|2001|0.4|0.8|0.6
5.3|6.4|5.9|451|XI(d) Malignant melanomas|76516063|0-19|All Races|Male and Female|2001|5.4|6.5|5.9
~|~|~|~|XI(e) Skin carcinomas|76516063|0-19|All Races|Male and Female|2001|~|~|~
3.6|4.5|4.1|313|XI(f) Other and unspecified carcinomas|76516063|0-19|All Races|Male and Female|2001|3.6|4.6|4.1
0.7|1.1|0.9|67|XII Other and unspecified malignant neoplasms|76516063|0-19|All Races|Male and Female|2001|0.7|1.1|0.9
0.3|0.6|0.4|30|XII(a) Other specified malignant tumors|76516063|0-19|All Races|Male and Female|2001|0.3|0.6|0.4
0.3|0.7|0.5|37|XII(b) Other unspecified malignant tumors|76516063|0-19|All Races|Male and Female|2001|0.3|0.7|0.5
168.4|174.3|171.4|13139|All ICCC Groups Combined|76630713|0-19|All Races|Male and Female|2002|168.5|174.4|171.5
43.6|46.6|45.1|3440|I Leukemias, myeloproliferative & myelodysplastic diseases|76630713|0-19|All Races|Male and Female|2002|43.4|46.4|44.9
30.8|33.3|32.0|2437|I(a) Lymphoid leukemias|76630713|0-19|All Races|Male and Female|2002|30.6|33.1|31.8
7.6|8.9|8.3|636|I(b) Acute myeloid leukemias|76630713|0-19|All Races|Male and Female|2002|7.7|9.0|8.3
1.8|2.4|2.1|162|I(c) Chronic myeloproliferative diseases|76630713|0-19|All Races|Male and Female|2002|1.8|2.5|2.1
1.2|1.8|1.5|116|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|76630713|0-19|All Races|Male and Female|2002|1.3|1.8|1.5
0.9|1.4|1.2|89|I(e) Unspecified and other specified leukemias|76630713|0-19|All Races|Male and Female|2002|0.9|1.4|1.2
23.3|25.5|24.4|1880|II Lymphomas and reticuloendothelial neoplasms|76630713|0-19|All Races|Male and Female|2002|23.4|25.7|24.5
11.4|12.9|12.1|941|II(a) Hodgkin lymphomas|76630713|0-19|All Races|Male and Female|2002|11.5|13.1|12.3
7.7|9.0|8.3|638|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|76630713|0-19|All Races|Male and Female|2002|7.7|9.0|8.3
2.4|3.1|2.7|208|II(c) Burkitt lymphoma|76630713|0-19|All Races|Male and Female|2002|2.4|3.1|2.7
0.7|1.1|0.9|67|II(d) Miscellaneous lymphoreticular neoplasms|76630713|0-19|All Races|Male and Female|2002|0.7|1.1|0.9
0.2|0.5|0.3|26|II(e) Unspecified lymphomas|76630713|0-19|All Races|Male and Female|2002|0.2|0.5|0.3
30.2|32.8|31.5|2403|III CNS and misc intracranial and intraspinal neoplasms|76630713|0-19|All Races|Male and Female|2002|30.1|32.6|31.4
2.6|3.4|3.0|229|III(a) Ependymomas and choroid plexus tumor|76630713|0-19|All Races|Male and Female|2002|2.6|3.4|3.0
14.5|16.3|15.4|1175|III(b) Astrocytomas|76630713|0-19|All Races|Male and Female|2002|14.5|16.2|15.3
5.8|7.0|6.4|487|III(c) Intracranial and intraspinal embryonal tumors|76630713|0-19|All Races|Male and Female|2002|5.8|6.9|6.4
5.1|6.1|5.6|426|III(d) Other gliomas|76630713|0-19|All Races|Male and Female|2002|5.0|6.1|5.6
0.6|0.9|0.7|56|III(e) Other specified intracranial & intraspinal neoplasms|76630713|0-19|All Races|Male and Female|2002|0.6|0.9|0.7
0.3|0.6|0.4|30|III(f) Unspecified intracranial and intraspinal neoplasms|76630713|0-19|All Races|Male and Female|2002|0.3|0.6|0.4
7.8|9.1|8.5|646|IV Neuroblastoma and other peripheral nervous cell tumors|76630713|0-19|All Races|Male and Female|2002|7.8|9.1|8.4
7.6|8.9|8.2|627|IV(a) Neuroblastoma and ganglioneuroblastoma|76630713|0-19|All Races|Male and Female|2002|7.6|8.8|8.2
0.1|0.4|0.2|19|IV(b) Other peripheral nervous cell tumors|76630713|0-19|All Races|Male and Female|2002|0.1|0.4|0.2
11.1|12.7|11.9|914|IX Soft tissue and other extraosseous sarcomas|76630713|0-19|All Races|Male and Female|2002|11.2|12.7|11.9
4.5|5.5|5.0|378|IX(a) Rhabdomyosarcomas|76630713|0-19|All Races|Male and Female|2002|4.4|5.5|4.9
1.0|1.5|1.2|93|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|76630713|0-19|All Races|Male and Female|2002|1.0|1.5|1.2
~|~|~|~|IX(c) Kaposi sarcoma|76630713|0-19|All Races|Male and Female|2002|~|~|~
4.3|5.3|4.7|366|IX(d) Other specified soft tissue sarcomas|76630713|0-19|All Races|Male and Female|2002|4.3|5.3|4.8
0.8|1.2|1.0|77|IX(e) Unspecified soft tissue sarcomas|76630713|0-19|All Races|Male and Female|2002|0.8|1.3|1.0
0.2|0.5|0.3|24|Not classified by ICCC|76630713|0-19|All Races|Male and Female|2002|0.2|0.5|0.3
2.4|3.2|2.8|214|V Retinoblastoma|76630713|0-19|All Races|Male and Female|2002|2.4|3.2|2.8
5.9|7.1|6.5|492|VI Renal tumors|76630713|0-19|All Races|Male and Female|2002|5.9|7.0|6.4
5.5|6.6|6.0|458|VI(a) Nephroblastoma and other nonepithelial renal tumors|76630713|0-19|All Races|Male and Female|2002|5.4|6.5|6.0
0.3|0.6|0.4|33|VI(b) Renal carcinomas|76630713|0-19|All Races|Male and Female|2002|0.3|0.6|0.4
~|~|~|~|VI(c) Unspecified malignant renal tumors|76630713|0-19|All Races|Male and Female|2002|~|~|~
1.4|2.0|1.7|130|VII Hepatic tumors|76630713|0-19|All Races|Male and Female|2002|1.4|2.0|1.7
1.0|1.5|1.2|91|VII(a) Hepatoblastoma|76630713|0-19|All Races|Male and Female|2002|1.0|1.5|1.2
0.3|0.7|0.5|38|VII(b) Hepatic carcinomas|76630713|0-19|All Races|Male and Female|2002|0.4|0.7|0.5
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|76630713|0-19|All Races|Male and Female|2002|~|~|~
8.5|9.9|9.2|712|VIII Malignant bone tumors|76630713|0-19|All Races|Male and Female|2002|8.6|10.0|9.3
4.4|5.5|4.9|382|VIII(a) Osteosarcomas|76630713|0-19|All Races|Male and Female|2002|4.5|5.5|5.0
0.3|0.7|0.5|37|VIII(b) Chondrosarcomas|76630713|0-19|All Races|Male and Female|2002|0.3|0.7|0.5
2.7|3.6|3.1|241|VIII(c) Ewing tumor and related sarcomas of bone|76630713|0-19|All Races|Male and Female|2002|2.8|3.6|3.1
0.4|0.7|0.5|40|VIII(d) Other specified malignant bone tumors|76630713|0-19|All Races|Male and Female|2002|0.4|0.7|0.5
~|~|~|~|VIII(e) Unspecified malignant bone tumors|76630713|0-19|All Races|Male and Female|2002|~|~|~
10.5|12.0|11.2|866|X Germ cell, trophoblastic tumors & neoplasms of gonads|76630713|0-19|All Races|Male and Female|2002|10.6|12.1|11.3
1.4|2.0|1.7|131|X(a) Intracranial & intraspinal germ cell tumors|76630713|0-19|All Races|Male and Female|2002|1.4|2.0|1.7
1.3|1.9|1.6|124|X(b) Malignant extracranial & extragonadal germ cell tumors|76630713|0-19|All Races|Male and Female|2002|1.3|1.9|1.6
6.7|7.9|7.3|561|X(c) Malignant gonadal germ cell tumors|76630713|0-19|All Races|Male and Female|2002|6.7|8.0|7.3
0.2|0.5|0.3|26|X(d) Gonadal carcinomas|76630713|0-19|All Races|Male and Female|2002|0.2|0.5|0.3
0.2|0.5|0.3|24|X(e) Other and unspecified malignant gonadal tumors|76630713|0-19|All Races|Male and Female|2002|0.2|0.5|0.3
16.5|18.4|17.4|1348|XI Other malignant epithelial neoplasms and malignant melanomas|76630713|0-19|All Races|Male and Female|2002|16.7|18.6|17.6
0.1|0.4|0.2|19|XI(a) Adrenocortical carcinomas|76630713|0-19|All Races|Male and Female|2002|0.1|0.4|0.2
5.2|6.3|5.7|444|XI(b) Thyroid carcinomas|76630713|0-19|All Races|Male and Female|2002|5.3|6.4|5.8
0.5|0.8|0.6|49|XI(c) Nasopharyngeal carcinomas|76630713|0-19|All Races|Male and Female|2002|0.5|0.8|0.6
6.1|7.3|6.7|516|XI(d) Malignant melanomas|76630713|0-19|All Races|Male and Female|2002|6.2|7.3|6.7
~|~|~|~|XI(e) Skin carcinomas|76630713|0-19|All Races|Male and Female|2002|~|~|~
3.6|4.5|4.0|312|XI(f) Other and unspecified carcinomas|76630713|0-19|All Races|Male and Female|2002|3.6|4.5|4.1
0.7|1.1|0.9|70|XII Other and unspecified malignant neoplasms|76630713|0-19|All Races|Male and Female|2002|0.7|1.2|0.9
0.3|0.6|0.5|36|XII(a) Other specified malignant tumors|76630713|0-19|All Races|Male and Female|2002|0.3|0.7|0.5
0.3|0.6|0.4|34|XII(b) Other unspecified malignant tumors|76630713|0-19|All Races|Male and Female|2002|0.3|0.6|0.4
164.4|170.0|167.2|13650|All ICCC Groups Combined|81425816|0-19|All Races|Male and Female|2003|164.8|170.5|167.6
41.9|44.7|43.3|3510|I Leukemias, myeloproliferative & myelodysplastic diseases|81425816|0-19|All Races|Male and Female|2003|41.7|44.6|43.1
29.5|31.9|30.7|2476|I(a) Lymphoid leukemias|81425816|0-19|All Races|Male and Female|2003|29.2|31.6|30.4
7.2|8.4|7.8|638|I(b) Acute myeloid leukemias|81425816|0-19|All Races|Male and Female|2003|7.2|8.5|7.8
1.9|2.5|2.2|181|I(c) Chronic myeloproliferative diseases|81425816|0-19|All Races|Male and Female|2003|1.9|2.6|2.2
1.4|1.9|1.6|134|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|81425816|0-19|All Races|Male and Female|2003|1.4|1.9|1.6
0.8|1.2|1.0|81|I(e) Unspecified and other specified leukemias|81425816|0-19|All Races|Male and Female|2003|0.8|1.2|1.0
23.1|25.3|24.2|1986|II Lymphomas and reticuloendothelial neoplasms|81425816|0-19|All Races|Male and Female|2003|23.3|25.5|24.4
11.7|13.2|12.4|1026|II(a) Hodgkin lymphomas|81425816|0-19|All Races|Male and Female|2003|11.8|13.4|12.6
7.5|8.7|8.1|660|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|81425816|0-19|All Races|Male and Female|2003|7.5|8.7|8.1
2.3|3.0|2.6|211|II(c) Burkitt lymphoma|81425816|0-19|All Races|Male and Female|2003|2.3|3.0|2.6
0.7|1.1|0.9|72|II(d) Miscellaneous lymphoreticular neoplasms|81425816|0-19|All Races|Male and Female|2003|0.7|1.1|0.9
0.1|0.3|0.2|17|II(e) Unspecified lymphomas|81425816|0-19|All Races|Male and Female|2003|0.1|0.3|0.2
28.8|31.2|30.0|2434|III CNS and misc intracranial and intraspinal neoplasms|81425816|0-19|All Races|Male and Female|2003|28.7|31.1|29.9
2.0|2.7|2.3|189|III(a) Ependymomas and choroid plexus tumor|81425816|0-19|All Races|Male and Female|2003|2.0|2.7|2.3
14.4|16.1|15.3|1240|III(b) Astrocytomas|81425816|0-19|All Races|Male and Female|2003|14.4|16.1|15.2
5.6|6.6|6.1|491|III(c) Intracranial and intraspinal embryonal tumors|81425816|0-19|All Races|Male and Female|2003|5.5|6.6|6.0
4.7|5.7|5.2|420|III(d) Other gliomas|81425816|0-19|All Races|Male and Female|2003|4.7|5.7|5.2
0.6|1.0|0.8|65|III(e) Other specified intracranial & intraspinal neoplasms|81425816|0-19|All Races|Male and Female|2003|0.6|1.0|0.8
0.2|0.5|0.4|29|III(f) Unspecified intracranial and intraspinal neoplasms|81425816|0-19|All Races|Male and Female|2003|0.2|0.5|0.4
7.6|8.9|8.2|668|IV Neuroblastoma and other peripheral nervous cell tumors|81425816|0-19|All Races|Male and Female|2003|7.6|8.9|8.2
7.4|8.7|8.0|653|IV(a) Neuroblastoma and ganglioneuroblastoma|81425816|0-19|All Races|Male and Female|2003|7.4|8.7|8.0
~|~|~|~|IV(b) Other peripheral nervous cell tumors|81425816|0-19|All Races|Male and Female|2003|~|~|~
