AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
20+|0.4|0.5|0.5|Malignant|576|118257088|Female|Anaplastic astrocytoma|2012|0.4|0.5|0.5
20+|~|~|~|Benign/Borderline|~|119491470|Female|Anaplastic astrocytoma|2013|~|~|~
20+|0.5|0.5|0.5|Malignant|623|119491470|Female|Anaplastic astrocytoma|2013|0.5|0.6|0.5
20+|~|~|~|Benign/Borderline|~|109112165|Female|Anaplastic oligodendroglioma|2004|~|~|~
20+|0.1|0.2|0.2|Malignant|181|109112165|Female|Anaplastic oligodendroglioma|2004|0.1|0.2|0.2
20+|~|~|~|Benign/Borderline|~|110320645|Female|Anaplastic oligodendroglioma|2005|~|~|~
20+|0.1|0.2|0.1|Malignant|166|110320645|Female|Anaplastic oligodendroglioma|2005|0.1|0.2|0.2
20+|~|~|~|Benign/Borderline|~|111567226|Female|Anaplastic oligodendroglioma|2006|~|~|~
20+|0.1|0.1|0.1|Malignant|138|111567226|Female|Anaplastic oligodendroglioma|2006|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|112783993|Female|Anaplastic oligodendroglioma|2007|~|~|~
20+|0.1|0.2|0.1|Malignant|154|112783993|Female|Anaplastic oligodendroglioma|2007|0.1|0.2|0.1
20+|~|~|~|Benign/Borderline|~|114027722|Female|Anaplastic oligodendroglioma|2008|~|~|~
20+|0.1|0.2|0.1|Malignant|168|114027722|Female|Anaplastic oligodendroglioma|2008|0.1|0.2|0.1
20+|~|~|~|Benign/Borderline|~|115293599|Female|Anaplastic oligodendroglioma|2009|~|~|~
20+|0.1|0.1|0.1|Malignant|142|115293599|Female|Anaplastic oligodendroglioma|2009|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|584684605|Female|Anaplastic oligodendroglioma|2009-2013|~|~|~
20+|0.1|0.1|0.1|Malignant|720|584684605|Female|Anaplastic oligodendroglioma|2009-2013|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|116623212|Female|Anaplastic oligodendroglioma|2010|~|~|~
20+|0.1|0.1|0.1|Malignant|131|116623212|Female|Anaplastic oligodendroglioma|2010|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|116968930|Female|Anaplastic oligodendroglioma|2011|~|~|~
20+|0.1|0.1|0.1|Malignant|147|116968930|Female|Anaplastic oligodendroglioma|2011|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|118257088|Female|Anaplastic oligodendroglioma|2012|~|~|~
20+|0.1|0.2|0.1|Malignant|161|118257088|Female|Anaplastic oligodendroglioma|2012|0.1|0.2|0.1
20+|~|~|~|Benign/Borderline|~|119491470|Female|Anaplastic oligodendroglioma|2013|~|~|~
20+|0.1|0.1|0.1|Malignant|139|119491470|Female|Anaplastic oligodendroglioma|2013|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|109112165|Female|Astrocytoma, NOS|2004|~|~|~
20+|0.5|0.6|0.5|Malignant|571|109112165|Female|Astrocytoma, NOS|2004|0.5|0.6|0.5
20+|~|~|~|Benign/Borderline|~|110320645|Female|Astrocytoma, NOS|2005|~|~|~
20+|0.5|0.5|0.5|Malignant|558|110320645|Female|Astrocytoma, NOS|2005|0.5|0.5|0.5
20+|~|~|~|Benign/Borderline|~|111567226|Female|Astrocytoma, NOS|2006|~|~|~
20+|0.4|0.5|0.5|Malignant|532|111567226|Female|Astrocytoma, NOS|2006|0.4|0.5|0.5
20+|~|~|~|Benign/Borderline|~|112783993|Female|Astrocytoma, NOS|2007|~|~|~
20+|0.4|0.5|0.5|Malignant|532|112783993|Female|Astrocytoma, NOS|2007|0.4|0.5|0.5
20+|~|~|~|Benign/Borderline|~|114027722|Female|Astrocytoma, NOS|2008|~|~|~
20+|0.4|0.5|0.4|Malignant|492|114027722|Female|Astrocytoma, NOS|2008|0.4|0.5|0.4
20+|~|~|~|Benign/Borderline|~|115293599|Female|Astrocytoma, NOS|2009|~|~|~
20+|0.4|0.5|0.4|Malignant|483|115293599|Female|Astrocytoma, NOS|2009|0.4|0.5|0.4
20+|~|~|~|Benign/Borderline|~|584684605|Female|Astrocytoma, NOS|2009-2013|~|~|~
20+|0.4|0.4|0.4|Malignant|2318|584684605|Female|Astrocytoma, NOS|2009-2013|0.4|0.4|0.4
20+|~|~|~|Benign/Borderline|~|116623212|Female|Astrocytoma, NOS|2010|~|~|~
20+|0.4|0.4|0.4|Malignant|475|116623212|Female|Astrocytoma, NOS|2010|0.4|0.4|0.4
20+|~|~|~|Benign/Borderline|~|116968930|Female|Astrocytoma, NOS|2011|~|~|~
20+|0.3|0.4|0.4|Malignant|453|116968930|Female|Astrocytoma, NOS|2011|0.4|0.4|0.4
20+|~|~|~|Benign/Borderline|~|118257088|Female|Astrocytoma, NOS|2012|~|~|~
20+|0.4|0.4|0.4|Malignant|481|118257088|Female|Astrocytoma, NOS|2012|0.4|0.4|0.4
20+|~|~|~|Benign/Borderline|~|119491470|Female|Astrocytoma, NOS|2013|~|~|~
20+|0.3|0.4|0.4|Malignant|431|119491470|Female|Astrocytoma, NOS|2013|0.3|0.4|0.4
20+|0.0|0.0|0.0|Benign/Borderline|38|109112165|Female|Choroid plexus|2004|0.0|0.0|0.0
20+|~|~|~|Malignant|~|109112165|Female|Choroid plexus|2004|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|37|110320645|Female|Choroid plexus|2005|0.0|0.0|0.0
20+|~|~|~|Malignant|~|110320645|Female|Choroid plexus|2005|~|~|~
20+|0.0|0.1|0.0|Benign/Borderline|41|111567226|Female|Choroid plexus|2006|0.0|0.0|0.0
20+|~|~|~|Malignant|~|111567226|Female|Choroid plexus|2006|~|~|~
20+|0.0|0.1|0.0|Benign/Borderline|55|112783993|Female|Choroid plexus|2007|0.0|0.1|0.0
20+|~|~|~|Malignant|~|112783993|Female|Choroid plexus|2007|~|~|~
20+|0.0|0.1|0.0|Benign/Borderline|46|114027722|Female|Choroid plexus|2008|0.0|0.1|0.0
20+|~|~|~|Malignant|~|114027722|Female|Choroid plexus|2008|~|~|~
20+|0.0|0.1|0.0|Benign/Borderline|44|115293599|Female|Choroid plexus|2009|0.0|0.1|0.0
20+|~|~|~|Malignant|~|115293599|Female|Choroid plexus|2009|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|224|584684605|Female|Choroid plexus|2009-2013|0.0|0.0|0.0
20+|0.0|0.0|0.0|Malignant|16|584684605|Female|Choroid plexus|2009-2013|0.0|0.0|0.0
20+|0.0|0.1|0.0|Benign/Borderline|48|116623212|Female|Choroid plexus|2010|0.0|0.1|0.0
20+|~|~|~|Malignant|~|116623212|Female|Choroid plexus|2010|~|~|~
20+|0.0|0.1|0.0|Benign/Borderline|50|116968930|Female|Choroid plexus|2011|0.0|0.1|0.0
20+|~|~|~|Malignant|~|116968930|Female|Choroid plexus|2011|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|36|118257088|Female|Choroid plexus|2012|0.0|0.0|0.0
20+|~|~|~|Malignant|~|118257088|Female|Choroid plexus|2012|~|~|~
20+|0.0|0.1|0.0|Benign/Borderline|46|119491470|Female|Choroid plexus|2013|0.0|0.1|0.0
20+|~|~|~|Malignant|~|119491470|Female|Choroid plexus|2013|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|198|109112165|Female|Craniopharyngioma|2004|0.2|0.2|0.2
20+|~|~|~|Malignant|~|109112165|Female|Craniopharyngioma|2004|~|~|~
20+|0.1|0.2|0.2|Benign/Borderline|183|110320645|Female|Craniopharyngioma|2005|0.1|0.2|0.2
20+|~|~|~|Malignant|~|110320645|Female|Craniopharyngioma|2005|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|198|111567226|Female|Craniopharyngioma|2006|0.2|0.2|0.2
20+|~|~|~|Malignant|~|111567226|Female|Craniopharyngioma|2006|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|216|112783993|Female|Craniopharyngioma|2007|0.2|0.2|0.2
20+|~|~|~|Malignant|~|112783993|Female|Craniopharyngioma|2007|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|220|114027722|Female|Craniopharyngioma|2008|0.2|0.2|0.2
20+|~|~|~|Malignant|~|114027722|Female|Craniopharyngioma|2008|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|227|115293599|Female|Craniopharyngioma|2009|0.2|0.2|0.2
20+|~|~|~|Malignant|~|115293599|Female|Craniopharyngioma|2009|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|1110|584684605|Female|Craniopharyngioma|2009-2013|0.2|0.2|0.2
20+|~|~|~|Malignant|~|584684605|Female|Craniopharyngioma|2009-2013|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|232|116623212|Female|Craniopharyngioma|2010|0.2|0.2|0.2
20+|~|~|~|Malignant|~|116623212|Female|Craniopharyngioma|2010|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|213|116968930|Female|Craniopharyngioma|2011|0.2|0.2|0.2
20+|~|~|~|Malignant|~|116968930|Female|Craniopharyngioma|2011|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|212|118257088|Female|Craniopharyngioma|2012|0.2|0.2|0.2
20+|~|~|~|Malignant|~|118257088|Female|Craniopharyngioma|2012|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|229|119491470|Female|Craniopharyngioma|2013|0.2|0.2|0.2
20+|~|~|~|Malignant|~|119491470|Female|Craniopharyngioma|2013|~|~|~
20+|~|~|~|Benign/Borderline|~|109112165|Female|Diffuse astrocytoma|2004|~|~|~
20+|0.1|0.1|0.1|Malignant|113|109112165|Female|Diffuse astrocytoma|2004|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|110320645|Female|Diffuse astrocytoma|2005|~|~|~
20+|0.1|0.1|0.1|Malignant|130|110320645|Female|Diffuse astrocytoma|2005|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|111567226|Female|Diffuse astrocytoma|2006|~|~|~
20+|0.1|0.1|0.1|Malignant|94|111567226|Female|Diffuse astrocytoma|2006|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|112783993|Female|Diffuse astrocytoma|2007|~|~|~
20+|0.1|0.1|0.1|Malignant|132|112783993|Female|Diffuse astrocytoma|2007|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|114027722|Female|Diffuse astrocytoma|2008|~|~|~
20+|0.1|0.1|0.1|Malignant|133|114027722|Female|Diffuse astrocytoma|2008|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|115293599|Female|Diffuse astrocytoma|2009|~|~|~
20+|0.1|0.2|0.1|Malignant|161|115293599|Female|Diffuse astrocytoma|2009|0.1|0.2|0.1
20+|~|~|~|Benign/Borderline|~|584684605|Female|Diffuse astrocytoma|2009-2013|~|~|~
20+|0.1|0.1|0.1|Malignant|594|584684605|Female|Diffuse astrocytoma|2009-2013|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|116623212|Female|Diffuse astrocytoma|2010|~|~|~
20+|0.1|0.2|0.1|Malignant|162|116623212|Female|Diffuse astrocytoma|2010|0.1|0.2|0.1
20+|~|~|~|Benign/Borderline|~|116968930|Female|Diffuse astrocytoma|2011|~|~|~
20+|0.1|0.1|0.1|Malignant|111|116968930|Female|Diffuse astrocytoma|2011|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|118257088|Female|Diffuse astrocytoma|2012|~|~|~
20+|0.1|0.1|0.1|Malignant|93|118257088|Female|Diffuse astrocytoma|2012|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|119491470|Female|Diffuse astrocytoma|2013|~|~|~
20+|0.0|0.1|0.1|Malignant|68|119491470|Female|Diffuse astrocytoma|2013|0.0|0.1|0.1
20+|~|~|~|Benign/Borderline|~|109112165|Female|Embryonal/primitive/medulloblastoma|2004|~|~|~
20+|0.1|0.1|0.1|Malignant|69|109112165|Female|Embryonal/primitive/medulloblastoma|2004|0.0|0.1|0.1
20+|~|~|~|Benign/Borderline|~|110320645|Female|Embryonal/primitive/medulloblastoma|2005|~|~|~
20+|0.1|0.1|0.1|Malignant|84|110320645|Female|Embryonal/primitive/medulloblastoma|2005|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|111567226|Female|Embryonal/primitive/medulloblastoma|2006|~|~|~
20+|0.1|0.1|0.1|Malignant|74|111567226|Female|Embryonal/primitive/medulloblastoma|2006|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|112783993|Female|Embryonal/primitive/medulloblastoma|2007|~|~|~
20+|0.1|0.1|0.1|Malignant|90|112783993|Female|Embryonal/primitive/medulloblastoma|2007|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|114027722|Female|Embryonal/primitive/medulloblastoma|2008|~|~|~
20+|0.1|0.1|0.1|Malignant|88|114027722|Female|Embryonal/primitive/medulloblastoma|2008|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|115293599|Female|Embryonal/primitive/medulloblastoma|2009|~|~|~
20+|0.1|0.1|0.1|Malignant|106|115293599|Female|Embryonal/primitive/medulloblastoma|2009|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|584684605|Female|Embryonal/primitive/medulloblastoma|2009-2013|~|~|~
20+|0.1|0.1|0.1|Malignant|413|584684605|Female|Embryonal/primitive/medulloblastoma|2009-2013|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|116623212|Female|Embryonal/primitive/medulloblastoma|2010|~|~|~
20+|0.1|0.1|0.1|Malignant|73|116623212|Female|Embryonal/primitive/medulloblastoma|2010|0.0|0.1|0.1
20+|~|~|~|Benign/Borderline|~|116968930|Female|Embryonal/primitive/medulloblastoma|2011|~|~|~
20+|0.0|0.1|0.1|Malignant|68|116968930|Female|Embryonal/primitive/medulloblastoma|2011|0.0|0.1|0.1
20+|~|~|~|Benign/Borderline|~|118257088|Female|Embryonal/primitive/medulloblastoma|2012|~|~|~
20+|0.1|0.1|0.1|Malignant|81|118257088|Female|Embryonal/primitive/medulloblastoma|2012|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|119491470|Female|Embryonal/primitive/medulloblastoma|2013|~|~|~
20+|0.1|0.1|0.1|Malignant|86|119491470|Female|Embryonal/primitive/medulloblastoma|2013|0.1|0.1|0.1
20+|0.1|0.1|0.1|Benign/Borderline|105|109112165|Female|Ependymoma variants|2004|0.1|0.1|0.1
20+|~|~|~|Malignant|~|109112165|Female|Ependymoma variants|2004|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|120|110320645|Female|Ependymoma variants|2005|0.1|0.1|0.1
20+|~|~|~|Malignant|~|110320645|Female|Ependymoma variants|2005|~|~|~
20+|0.1|0.2|0.1|Benign/Borderline|147|111567226|Female|Ependymoma variants|2006|0.1|0.2|0.1
20+|~|~|~|Malignant|~|111567226|Female|Ependymoma variants|2006|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|111|112783993|Female|Ependymoma variants|2007|0.1|0.1|0.1
20+|~|~|~|Malignant|~|112783993|Female|Ependymoma variants|2007|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|111|114027722|Female|Ependymoma variants|2008|0.1|0.1|0.1
20+|~|~|~|Malignant|~|114027722|Female|Ependymoma variants|2008|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|111|115293599|Female|Ependymoma variants|2009|0.1|0.1|0.1
20+|~|~|~|Malignant|~|115293599|Female|Ependymoma variants|2009|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|588|584684605|Female|Ependymoma variants|2009-2013|0.1|0.1|0.1
20+|~|~|~|Malignant|~|584684605|Female|Ependymoma variants|2009-2013|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|120|116623212|Female|Ependymoma variants|2010|0.1|0.1|0.1
20+|~|~|~|Malignant|~|116623212|Female|Ependymoma variants|2010|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|117|116968930|Female|Ependymoma variants|2011|0.1|0.1|0.1
20+|~|~|~|Malignant|~|116968930|Female|Ependymoma variants|2011|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|126|118257088|Female|Ependymoma variants|2012|0.1|0.1|0.1
20+|~|~|~|Malignant|~|118257088|Female|Ependymoma variants|2012|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|114|119491470|Female|Ependymoma variants|2013|0.1|0.1|0.1
20+|~|~|~|Malignant|~|119491470|Female|Ependymoma variants|2013|~|~|~
20+|~|~|~|Benign/Borderline|~|109112165|Female|Ependymoma/anaplastic ependymoma|2004|~|~|~
20+|0.2|0.3|0.3|Malignant|291|109112165|Female|Ependymoma/anaplastic ependymoma|2004|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|110320645|Female|Ependymoma/anaplastic ependymoma|2005|~|~|~
20+|0.2|0.3|0.3|Malignant|300|110320645|Female|Ependymoma/anaplastic ependymoma|2005|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|111567226|Female|Ependymoma/anaplastic ependymoma|2006|~|~|~
20+|0.2|0.3|0.3|Malignant|291|111567226|Female|Ependymoma/anaplastic ependymoma|2006|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|112783993|Female|Ependymoma/anaplastic ependymoma|2007|~|~|~
20+|0.2|0.3|0.3|Malignant|294|112783993|Female|Ependymoma/anaplastic ependymoma|2007|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|114027722|Female|Ependymoma/anaplastic ependymoma|2008|~|~|~
20+|0.2|0.3|0.3|Malignant|311|114027722|Female|Ependymoma/anaplastic ependymoma|2008|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|115293599|Female|Ependymoma/anaplastic ependymoma|2009|~|~|~
20+|0.3|0.3|0.3|Malignant|338|115293599|Female|Ependymoma/anaplastic ependymoma|2009|0.3|0.3|0.3
20+|0.0|0.0|0.0|Benign/Borderline|29|584684605|Female|Ependymoma/anaplastic ependymoma|2009-2013|0.0|0.0|0.0
20+|0.2|0.3|0.3|Malignant|1478|584684605|Female|Ependymoma/anaplastic ependymoma|2009-2013|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|116623212|Female|Ependymoma/anaplastic ependymoma|2010|~|~|~
20+|0.2|0.3|0.3|Malignant|292|116623212|Female|Ependymoma/anaplastic ependymoma|2010|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|116968930|Female|Ependymoma/anaplastic ependymoma|2011|~|~|~
20+|0.2|0.3|0.3|Malignant|296|116968930|Female|Ependymoma/anaplastic ependymoma|2011|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|118257088|Female|Ependymoma/anaplastic ependymoma|2012|~|~|~
20+|0.2|0.3|0.3|Malignant|299|118257088|Female|Ependymoma/anaplastic ependymoma|2012|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|119491470|Female|Ependymoma/anaplastic ependymoma|2013|~|~|~
20+|0.2|0.2|0.2|Malignant|260|119491470|Female|Ependymoma/anaplastic ependymoma|2013|0.2|0.2|0.2
20+|0.0|0.0|0.0|Benign/Borderline|17|109112165|Female|Germ Cell Tumors|2004|0.0|0.0|0.0
20+|~|~|~|Malignant|~|109112165|Female|Germ Cell Tumors|2004|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|35|110320645|Female|Germ Cell Tumors|2005|0.0|0.0|0.0
20+|~|~|~|Malignant|~|110320645|Female|Germ Cell Tumors|2005|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|35|111567226|Female|Germ Cell Tumors|2006|0.0|0.0|0.0
20+|~|~|~|Malignant|~|111567226|Female|Germ Cell Tumors|2006|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|36|112783993|Female|Germ Cell Tumors|2007|0.0|0.0|0.0
20+|~|~|~|Malignant|~|112783993|Female|Germ Cell Tumors|2007|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|32|114027722|Female|Germ Cell Tumors|2008|0.0|0.0|0.0
20+|~|~|~|Malignant|~|114027722|Female|Germ Cell Tumors|2008|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|40|115293599|Female|Germ Cell Tumors|2009|0.0|0.0|0.0
20+|~|~|~|Malignant|~|115293599|Female|Germ Cell Tumors|2009|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|148|584684605|Female|Germ Cell Tumors|2009-2013|0.0|0.0|0.0
20+|0.0|0.0|0.0|Malignant|39|584684605|Female|Germ Cell Tumors|2009-2013|0.0|0.0|0.0
20+|0.0|0.0|0.0|Benign/Borderline|29|116623212|Female|Germ Cell Tumors|2010|0.0|0.0|0.0
20+|~|~|~|Malignant|~|116623212|Female|Germ Cell Tumors|2010|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|32|116968930|Female|Germ Cell Tumors|2011|0.0|0.0|0.0
20+|~|~|~|Malignant|~|116968930|Female|Germ Cell Tumors|2011|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|26|118257088|Female|Germ Cell Tumors|2012|0.0|0.0|0.0
20+|~|~|~|Malignant|~|118257088|Female|Germ Cell Tumors|2012|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|21|119491470|Female|Germ Cell Tumors|2013|0.0|0.0|0.0
20+|~|~|~|Malignant|~|119491470|Female|Germ Cell Tumors|2013|~|~|~
20+|~|~|~|Benign/Borderline|~|109112165|Female|Glioblastoma|2004|~|~|~
20+|3.4|3.6|3.5|Malignant|4090|109112165|Female|Glioblastoma|2004|3.6|3.9|3.7
20+|~|~|~|Benign/Borderline|~|110320645|Female|Glioblastoma|2005|~|~|~
20+|3.4|3.6|3.5|Malignant|4149|110320645|Female|Glioblastoma|2005|3.6|3.9|3.8
20+|~|~|~|Benign/Borderline|~|111567226|Female|Glioblastoma|2006|~|~|~
20+|3.4|3.7|3.5|Malignant|4280|111567226|Female|Glioblastoma|2006|3.7|4.0|3.8
20+|~|~|~|Benign/Borderline|~|112783993|Female|Glioblastoma|2007|~|~|~
20+|3.5|3.7|3.6|Malignant|4365|112783993|Female|Glioblastoma|2007|3.8|4.0|3.9
20+|~|~|~|Benign/Borderline|~|114027722|Female|Glioblastoma|2008|~|~|~
20+|3.4|3.6|3.5|Malignant|4398|114027722|Female|Glioblastoma|2008|3.7|4.0|3.9
20+|~|~|~|Benign/Borderline|~|115293599|Female|Glioblastoma|2009|~|~|~
20+|3.4|3.6|3.5|Malignant|4460|115293599|Female|Glioblastoma|2009|3.8|4.0|3.9
20+|~|~|~|Benign/Borderline|~|584684605|Female|Glioblastoma|2009-2013|~|~|~
20+|3.5|3.5|3.5|Malignant|23134|584684605|Female|Glioblastoma|2009-2013|3.9|4.0|4.0
20+|~|~|~|Benign/Borderline|~|116623212|Female|Glioblastoma|2010|~|~|~
20+|3.4|3.6|3.5|Malignant|4596|116623212|Female|Glioblastoma|2010|3.8|4.1|3.9
20+|~|~|~|Benign/Borderline|~|116968930|Female|Glioblastoma|2011|~|~|~
20+|3.4|3.6|3.5|Malignant|4544|116968930|Female|Glioblastoma|2011|3.8|4.0|3.9
20+|~|~|~|Benign/Borderline|~|118257088|Female|Glioblastoma|2012|~|~|~
20+|3.5|3.7|3.6|Malignant|4791|118257088|Female|Glioblastoma|2012|3.9|4.2|4.1
20+|~|~|~|Benign/Borderline|~|119491470|Female|Glioblastoma|2013|~|~|~
20+|3.4|3.6|3.5|Malignant|4793|119491470|Female|Glioblastoma|2013|3.9|4.1|4.0
20+|~|~|~|Benign/Borderline|~|109112165|Female|Glioma malignant, NOS|2004|~|~|~
20+|0.3|0.4|0.4|Malignant|419|109112165|Female|Glioma malignant, NOS|2004|0.3|0.4|0.4
20+|~|~|~|Benign/Borderline|~|110320645|Female|Glioma malignant, NOS|2005|~|~|~
20+|0.3|0.4|0.3|Malignant|389|110320645|Female|Glioma malignant, NOS|2005|0.3|0.4|0.4
20+|~|~|~|Benign/Borderline|~|111567226|Female|Glioma malignant, NOS|2006|~|~|~
20+|0.3|0.4|0.3|Malignant|393|111567226|Female|Glioma malignant, NOS|2006|0.3|0.4|0.4
20+|~|~|~|Benign/Borderline|~|112783993|Female|Glioma malignant, NOS|2007|~|~|~
20+|0.3|0.4|0.3|Malignant|404|112783993|Female|Glioma malignant, NOS|2007|0.3|0.4|0.4
20+|~|~|~|Benign/Borderline|~|114027722|Female|Glioma malignant, NOS|2008|~|~|~
20+|0.3|0.4|0.4|Malignant|432|114027722|Female|Glioma malignant, NOS|2008|0.3|0.4|0.4
20+|~|~|~|Benign/Borderline|~|115293599|Female|Glioma malignant, NOS|2009|~|~|~
20+|0.4|0.5|0.4|Malignant|509|115293599|Female|Glioma malignant, NOS|2009|0.4|0.5|0.4
20+|0.0|0.0|0.0|Benign/Borderline|57|584684605|Female|Glioma malignant, NOS|2009-2013|0.0|0.0|0.0
20+|0.3|0.4|0.4|Malignant|2180|584684605|Female|Glioma malignant, NOS|2009-2013|0.4|0.4|0.4
20+|~|~|~|Benign/Borderline|~|116623212|Female|Glioma malignant, NOS|2010|~|~|~
20+|0.3|0.4|0.3|Malignant|404|116623212|Female|Glioma malignant, NOS|2010|0.3|0.4|0.3
20+|~|~|~|Benign/Borderline|~|116968930|Female|Glioma malignant, NOS|2011|~|~|~
20+|0.3|0.4|0.3|Malignant|429|116968930|Female|Glioma malignant, NOS|2011|0.3|0.4|0.4
20+|~|~|~|Benign/Borderline|~|118257088|Female|Glioma malignant, NOS|2012|~|~|~
20+|0.3|0.4|0.3|Malignant|409|118257088|Female|Glioma malignant, NOS|2012|0.3|0.4|0.3
20+|0.0|0.0|0.0|Benign/Borderline|17|119491470|Female|Glioma malignant, NOS|2013|0.0|0.0|0.0
20+|0.3|0.4|0.3|Malignant|435|119491470|Female|Glioma malignant, NOS|2013|0.3|0.4|0.4
20+|0.2|0.2|0.2|Benign/Borderline|203|109112165|Female|Hemangioblastoma|2004|0.2|0.2|0.2
20+|~|~|~|Malignant|~|109112165|Female|Hemangioblastoma|2004|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|224|110320645|Female|Hemangioblastoma|2005|0.2|0.2|0.2
20+|~|~|~|Malignant|~|110320645|Female|Hemangioblastoma|2005|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|218|111567226|Female|Hemangioblastoma|2006|0.2|0.2|0.2
20+|~|~|~|Malignant|~|111567226|Female|Hemangioblastoma|2006|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|213|112783993|Female|Hemangioblastoma|2007|0.2|0.2|0.2
20+|~|~|~|Malignant|~|112783993|Female|Hemangioblastoma|2007|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|235|114027722|Female|Hemangioblastoma|2008|0.2|0.2|0.2
20+|~|~|~|Malignant|~|114027722|Female|Hemangioblastoma|2008|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|230|115293599|Female|Hemangioblastoma|2009|0.2|0.2|0.2
20+|~|~|~|Malignant|~|115293599|Female|Hemangioblastoma|2009|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|1155|584684605|Female|Hemangioblastoma|2009-2013|0.2|0.2|0.2
20+|~|~|~|Malignant|~|584684605|Female|Hemangioblastoma|2009-2013|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|220|116623212|Female|Hemangioblastoma|2010|0.2|0.2|0.2
20+|~|~|~|Malignant|~|116623212|Female|Hemangioblastoma|2010|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|237|116968930|Female|Hemangioblastoma|2011|0.2|0.2|0.2
20+|~|~|~|Malignant|~|116968930|Female|Hemangioblastoma|2011|~|~|~
