"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	Deaths
	"Prostate"	"28010"	"North Carolina"	"37"	826
	"Prostate"	"28010"	"North Dakota"	"38"	48
	"Prostate"	"28010"	"Ohio"	"39"	1045
	"Prostate"	"28010"	"Oklahoma"	"40"	369
	"Prostate"	"28010"	"Oregon"	"41"	391
	"Prostate"	"28010"	"Pennsylvania"	"42"	1362
	"Prostate"	"28010"	"Rhode Island"	"44"	110
	"Prostate"	"28010"	"South Carolina"	"45"	460
	"Prostate"	"28010"	"South Dakota"	"46"	79
	"Prostate"	"28010"	"Tennessee"	"47"	546
	"Prostate"	"28010"	"Texas"	"48"	1767
	"Prostate"	"28010"	"Utah"	"49"	193
	"Prostate"	"28010"	"Vermont"	"50"	64
	"Prostate"	"28010"	"Virginia"	"51"	701
	"Prostate"	"28010"	"Washington"	"53"	602
	"Prostate"	"28010"	"West Virginia"	"54"	178
	"Prostate"	"28010"	"Wisconsin"	"55"	609
	"Prostate"	"28010"	"Wyoming"	"56"	42
	"Stomach"	"21020"	"Alabama"	"01"	190
	"Stomach"	"21020"	"Alaska"	"02"	35
	"Stomach"	"21020"	"Arizona"	"04"	201
	"Stomach"	"21020"	"Arkansas"	"05"	100
	"Stomach"	"21020"	"California"	"06"	1548
	"Stomach"	"21020"	"Colorado"	"08"	146
	"Stomach"	"21020"	"Connecticut"	"09"	145
	"Stomach"	"21020"	"Delaware"	"10"	34
	"Stomach"	"21020"	"District of Columbia"	"11"	35
	"Stomach"	"21020"	"Florida"	"12"	774
	"Stomach"	"21020"	"Georgia"	"13"	294
	"Stomach"	"21020"	"Hawaii"	"15"	84
	"Stomach"	"21020"	"Idaho"	"16"	35
	"Stomach"	"21020"	"Illinois"	"17"	486
	"Stomach"	"21020"	"Indiana"	"18"	197
	"Stomach"	"21020"	"Iowa"	"19"	69
	"Stomach"	"21020"	"Kansas"	"20"	85
	"Stomach"	"21020"	"Kentucky"	"21"	171
	"Stomach"	"21020"	"Louisiana"	"22"	179
	"Stomach"	"21020"	"Maine"	"23"	31
	"Stomach"	"21020"	"Maryland"	"24"	212
	"Stomach"	"21020"	"Massachusetts"	"25"	236
	"Stomach"	"21020"	"Michigan"	"26"	350
	"Stomach"	"21020"	"Minnesota"	"27"	151
	"Stomach"	"21020"	"Mississippi"	"28"	145
	"Stomach"	"21020"	"Missouri"	"29"	185
	"Stomach"	"21020"	"Montana"	"30"	32
	"Stomach"	"21020"	"Nebraska"	"31"	24
	"Stomach"	"21020"	"Nevada"	"32"	86
	"Stomach"	"21020"	"New Hampshire"	"33"	39
	"Stomach"	"21020"	"New Jersey"	"34"	371
	"Stomach"	"21020"	"New Mexico"	"35"	83
	"Stomach"	"21020"	"New York"	"36"	873
	"Stomach"	"21020"	"North Carolina"	"37"	348
	"Stomach"	"21020"	"Ohio"	"39"	364
	"Stomach"	"21020"	"Oklahoma"	"40"	97
	"Stomach"	"21020"	"Oregon"	"41"	109
	"Stomach"	"21020"	"Pennsylvania"	"42"	443
	"Stomach"	"21020"	"Rhode Island"	"44"	56
	"Stomach"	"21020"	"South Carolina"	"45"	221
	"Stomach"	"21020"	"South Dakota"	"46"	25
	"Stomach"	"21020"	"Tennessee"	"47"	221
	"Stomach"	"21020"	"Texas"	"48"	931
	"Stomach"	"21020"	"Utah"	"49"	49
	"Stomach"	"21020"	"Vermont"	"50"	22
	"Stomach"	"21020"	"Virginia"	"51"	255
	"Stomach"	"21020"	"Washington"	"53"	197
	"Stomach"	"21020"	"West Virginia"	"54"	85
	"Stomach"	"21020"	"Wisconsin"	"55"	186
	"Thyroid"	"32010"	"Alabama"	"01"	22
	"Thyroid"	"32010"	"Arizona"	"04"	31
	"Thyroid"	"32010"	"California"	"06"	249
	"Thyroid"	"32010"	"Colorado"	"08"	27
	"Thyroid"	"32010"	"Connecticut"	"09"	24
	"Thyroid"	"32010"	"Florida"	"12"	126
	"Thyroid"	"32010"	"Georgia"	"13"	37
	"Thyroid"	"32010"	"Illinois"	"17"	65
	"Thyroid"	"32010"	"Indiana"	"18"	26
	"Thyroid"	"32010"	"Iowa"	"19"	16
	"Thyroid"	"32010"	"Kentucky"	"21"	27
	"Thyroid"	"32010"	"Louisiana"	"22"	19
	"Thyroid"	"32010"	"Maryland"	"24"	30
	"Thyroid"	"32010"	"Massachusetts"	"25"	52
	"Thyroid"	"32010"	"Michigan"	"26"	65
	"Thyroid"	"32010"	"Minnesota"	"27"	31
	"Thyroid"	"32010"	"Missouri"	"29"	39
	"Thyroid"	"32010"	"Nevada"	"32"	19
	"Thyroid"	"32010"	"New Jersey"	"34"	60
	"Thyroid"	"32010"	"New York"	"36"	133
	"Thyroid"	"32010"	"North Carolina"	"37"	60
	"Thyroid"	"32010"	"Ohio"	"39"	73
	"Thyroid"	"32010"	"Oklahoma"	"40"	21
	"Thyroid"	"32010"	"Oregon"	"41"	28
	"Thyroid"	"32010"	"Pennsylvania"	"42"	84
	"Thyroid"	"32010"	"South Carolina"	"45"	30
	"Thyroid"	"32010"	"Tennessee"	"47"	40
	"Thyroid"	"32010"	"Texas"	"48"	122
	"Thyroid"	"32010"	"Virginia"	"51"	41
	"Thyroid"	"32010"	"Washington"	"53"	40
	"Thyroid"	"32010"	"Wisconsin"	"55"	44
	"Urinary Bladder"	"29010"	"Alabama"	"01"	202
	"Urinary Bladder"	"29010"	"Arizona"	"04"	297
	"Urinary Bladder"	"29010"	"Arkansas"	"05"	159
	"Urinary Bladder"	"29010"	"California"	"06"	1568
	"Urinary Bladder"	"29010"	"Colorado"	"08"	213
	"Urinary Bladder"	"29010"	"Connecticut"	"09"	225
	"Urinary Bladder"	"29010"	"Delaware"	"10"	47
	"Urinary Bladder"	"29010"	"District of Columbia"	"11"	22
	"Urinary Bladder"	"29010"	"Florida"	"12"	1248
	"Urinary Bladder"	"29010"	"Georgia"	"13"	418
	"Urinary Bladder"	"29010"	"Hawaii"	"15"	53
	"Urinary Bladder"	"29010"	"Idaho"	"16"	85
	"Urinary Bladder"	"29010"	"Illinois"	"17"	621
	"Urinary Bladder"	"29010"	"Indiana"	"18"	381
	"Urinary Bladder"	"29010"	"Iowa"	"19"	198
	"Urinary Bladder"	"29010"	"Kansas"	"20"	115
	"Urinary Bladder"	"29010"	"Kentucky"	"21"	223
	"Urinary Bladder"	"29010"	"Louisiana"	"22"	213
	"Urinary Bladder"	"29010"	"Maine"	"23"	95
	"Urinary Bladder"	"29010"	"Maryland"	"24"	328
	"Urinary Bladder"	"29010"	"Massachusetts"	"25"	404
	"Urinary Bladder"	"29010"	"Michigan"	"26"	589
	"Urinary Bladder"	"29010"	"Minnesota"	"27"	265
	"Urinary Bladder"	"29010"	"Mississippi"	"28"	125
	"Urinary Bladder"	"29010"	"Missouri"	"29"	314
	"Urinary Bladder"	"29010"	"Montana"	"30"	61
	"Urinary Bladder"	"29010"	"Nebraska"	"31"	84
	"Urinary Bladder"	"29010"	"Nevada"	"32"	139
	"Urinary Bladder"	"29010"	"New Hampshire"	"33"	91
	"Urinary Bladder"	"29010"	"New Jersey"	"34"	498
	"Urinary Bladder"	"29010"	"New Mexico"	"35"	106
	"Urinary Bladder"	"29010"	"New York"	"36"	986
	"Urinary Bladder"	"29010"	"North Carolina"	"37"	473
	"Urinary Bladder"	"29010"	"North Dakota"	"38"	27
	"Urinary Bladder"	"29010"	"Ohio"	"39"	759
	"Urinary Bladder"	"29010"	"Oklahoma"	"40"	182
	"Urinary Bladder"	"29010"	"Oregon"	"41"	206
	"Urinary Bladder"	"29010"	"Pennsylvania"	"42"	826
	"Urinary Bladder"	"29010"	"Rhode Island"	"44"	73
	"Urinary Bladder"	"29010"	"South Carolina"	"45"	223
	"Urinary Bladder"	"29010"	"South Dakota"	"46"	46
	"Urinary Bladder"	"29010"	"Tennessee"	"47"	324
	"Urinary Bladder"	"29010"	"Texas"	"48"	873
	"Urinary Bladder"	"29010"	"Utah"	"49"	85
	"Urinary Bladder"	"29010"	"Vermont"	"50"	43
	"Urinary Bladder"	"29010"	"Virginia"	"51"	373
	"Urinary Bladder"	"29010"	"Washington"	"53"	365
	"Urinary Bladder"	"29010"	"West Virginia"	"54"	130
	"Urinary Bladder"	"29010"	"Wisconsin"	"55"	339
	"Urinary Bladder"	"29010"	"Wyoming"	"56"	25
"---"
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2013 Mortality"
"Query Parameters:"
"Title:"
"Age Group: All"
"Ethnicity: All"
"Leading Cancer Sites: All Leading Sites"
"Race: All"
"Sex: All"
"State: All"
"Year: 2013"
"Group By: Leading Cancer Sites, State"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Standard Population: 2000 U.S. Std. Million"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/CancerMort-v2013.html for more information."
"---"
"Query Date: May 13, 2017 10:52:34 PM"
"---"
"Suggested Citation: United States Cancer Statistics: 1999 - 2013 Mortality, WONDER Online Database. United States Department of"
"Health and Human Services, Centers for Disease Control and Prevention; 2016. Accessed at"
"http://wonder.cdc.gov/CancerMort-v2013.html on May 13, 2017 10:52:34 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. 'Suppressed' is displayed for data values when they must not be provided in order to protect personal privacy. Data is"
"suppressed if fewer than 16 cases are reported in any one line of the results table. Data for the ""Asian / Pacific Islander"""
"and ""American Indian or Alaska Native"" race categories are suppressed at the Metropolitan Statistical Area level for"
"populations less than 50,000 persons. More information: http://wonder.cdc.gov/wonder/help/CancerMort-v2013.html#Suppressed."
"2. 'Not Applicable' is displayed for all data values when gender-specific cancers are combined with the wrong sex. More"
"information: http://wonder.cdc.gov/wonder/help/CancerMort-v2013.html#Genital Cancers List."
"3. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites or by Childhood Cancer, because aggregate"
"values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be"
"misleading."
"4. About rate comparisons: <ul><li> For consistency with the data on cancer incidence, the cancer sites in mortality data were"
"grouped according to the revised SEER recodes dated January 27, 2003 (see SEER Cause of Death Recodes:"
"http://seer.cancer.gov/codrecode/.). Because NCHS uses different groupings for some sites, the death rates in this report may"
"differ slightly from those published by NCHS. In addition, under the ICD, there are differences in mortality and incidence"
"coding. For example, there are several codes for mesothelioma in ICD-10 (depending on the primary site). However in ICD-O-3, one"
"code captures all of the primary sites that mesothelioma affects. Note that Kaposi sarcoma deaths included in this dataset are"
"only those deaths with underlying cause of death attributed to Kaposi Sarcoma, and do not include deaths where the condition was"
"a contributing cause of death, or subsequent to another underlying condition. </li><li> The population used to age-adjust the"
"rates in this report is the 2000 U.S. standard population, which is in accordance with a 1998 recommendation of the US."
"Department of Health and Human Services. The 2000 U.S. standard population is based on the proportion of the 2000 population in"
"specific age groups (younger than 1 year, 1-4 years, 5-9 years, 10-14 years, 15-19 years, . . . 85 years or older); the"
"proportions of the 2000 population in these age groups serve as weights for calculating age-adjusted incidence and death rates."
"NCHS, however, uses a different set of age groups in its age adjustment of death rates, and thus the cancer death rates in this"
"report may differ slightly from those published by NCHS. </li><li> Deaths of persons of unknown age are not included in this"
"data set. Death rates may differ slightly from other reports where deaths of persons of unknown age are included. </li></ul>"
"5. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and"
"Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for"
"these states, nor are these counts included in the summary populations for the affected division, regions or national"
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005."
