AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-19|1.1|1.2|1.1|939|Incidence|81571493|Hodgkin Lymphoma|2013
0-14|0.0|0.1|0.1|40|Mortality|61101044|Kidney and Renal Pelvis|2013
0-19|0.0|0.1|0.1|46|Mortality|82296428|Kidney and Renal Pelvis|2013
0-14|0.8|1.0|0.9|549|Incidence|60552670|Kidney and Renal Pelvis|2013
0-19|0.7|0.8|0.7|604|Incidence|81571493|Kidney and Renal Pelvis|2013
0-14|0.5|0.6|0.6|350|Mortality|61101044|Leukemia|2013
0-19|0.6|0.7|0.6|509|Mortality|82296428|Leukemia|2013
0-14|4.6|4.9|4.8|2896|Incidence|60552670|Leukemia|2013
0-19|4.2|4.5|4.3|3518|Incidence|81571493|Leukemia|2013
0-14|0.0|0.1|0.0|29|Mortality|61101044|Non-Hodgkin Lymphoma|2013
0-19|0.1|0.1|0.1|60|Mortality|82296428|Non-Hodgkin Lymphoma|2013
0-14|0.9|1.1|1.0|591|Incidence|60552670|Non-Hodgkin Lymphoma|2013
0-19|1.1|1.2|1.1|938|Incidence|81571493|Non-Hodgkin Lymphoma|2013
0-14|0.4|0.5|0.4|254|Mortality|61101044|Other|2013
0-19|0.4|0.5|0.4|367|Mortality|82296428|Other|2013
0-14|4.0|4.3|4.2|2529|Incidence|60552670|Other|2013
0-19|5.3|5.6|5.4|4464|Incidence|81571493|Other|2013
0-14|0.1|0.2|0.2|101|Mortality|61101044|Soft Tissue|2013
0-19|0.2|0.3|0.2|183|Mortality|82296428|Soft Tissue|2013
0-14|1.0|1.2|1.1|653|Incidence|60552670|Soft Tissue|2013
0-19|1.0|1.1|1.1|866|Incidence|81571493|Soft Tissue|2013
